<|startoftext|>|7|1wasp lancer|0uncommon|9flying|5creature|4|6faerie soldier|8&^^^/&^^|3{UBUBUB}<|endoftext|>
<|startoftext|>|4|8|7|3{^^^UU}|5sorcery|9draw three cards, then discard a card.|1sift|0common|6<|endoftext|>
<|startoftext|>|4|0common|1leonin den~guard|3{^WW}|7|6cat soldier|5creature|9as long as @ is equipped, it gets +&^/+&^ and has vigilance.|8&^/&^^^<|endoftext|>
<|startoftext|>|4|1sengir nosferatu|3{^^^BBBB}|9flying\{^BB}, exile @: create a &^/&^^ black bat creature token with flying. it has "{^BB}, sacrifice this creature: return an exiled card named sengir nosferatu to the battlefield under its owner's control."|0rare|5creature|6vampire|8&^^^^/&^^^^|7<|endoftext|>
<|startoftext|>|1price of fame|5instant|3{^^^BB}|8|4|9this spell costs {^^} less to cast if it targets a legendary creature.\destroy target creature.\surveil &^^.|7|6|0uncommon<|endoftext|>
<|startoftext|>|3{^^WW}|0uncommon|4|5enchantment|8|1great wall|7|6|9creatures with plainswalk can be blocked as though they didn't have plainswalk.<|endoftext|>
<|startoftext|>|1flowering field|4|5enchantment|3{^WW}|0uncommon|8|6aura|7|9enchant land\enchanted land has "T: prevent the next &^ damage that would be dealt to any target this turn."<|endoftext|>
<|startoftext|>|7&^^^^^|8|5planeswalker|3{^^^^RRRR}|1sarkhan, dragonsoul|6sarkhan|0mythic|4legendary|9[+&^^]: @ deals &^ damage to each opponent and each creature your opponents control.\[-&^^^]: @ deals &^^^^ damage to target player or planeswalker.\[-&^^^^^^^^^]: search your library for any number of dragon creature cards, put them onto the battlefield, then shuffle your library.<|endoftext|>
<|startoftext|>|5instant|4|0common|6|3{^WW}|7|8|1sun's bounty|9recover {^WW}\you gain &^^^^ life.<|endoftext|>
<|startoftext|>|5creature|7|9flying\sacrifice @: creatures you control gain indestructible until end of turn.|6spirit cleric|0rare|1selfless spirit|8&^^/&^|4|3{^WW}<|endoftext|>
<|startoftext|>|5artifact creature|4|0uncommon|8&^^^/&^^^|1dromar's attendant|3{^^^^^}|6golem|7|9{^}, sacrifice @: add {WWUUBB}.<|endoftext|>
<|startoftext|>|0rare|6|5sorcery|7|9surveil &^^^, then return a creature card from your graveyard to the battlefield.|4|3{^^^UUBB}|8|1concoct<|endoftext|>
<|startoftext|>|3{^UUUU}|0rare|5instant|9uncast target spell, activated ability, or triggered ability.|7|4|1disallow|8|6<|endoftext|>
<|startoftext|>|0uncommon|7|5creature|6snake|8&^^^/&^^^|3{^^^^GG}|9T: @ gets +&^^^/+&^^^ until end of turn.|1boa constrictor|4<|endoftext|>
<|startoftext|>|3{^^BB}|1agadeem occultist|5creature|8&/&^^|7|6human shaman ally|4|0rare|9T: put target creature card from an opponent's graveyard onto the battlefield under your control if its converted mana cost is less than or equal to the number of allies you control.<|endoftext|>
<|startoftext|>|1fencing ace|5creature|0uncommon|7|8&^/&^|3{^WW}|9double strike|6human soldier|4<|endoftext|>
<|startoftext|>|1krovikan mist|7|8*/*|5creature|6illusion|4|0common|3{^UU}|9flying\@'s power and toughness are each equal to the number of illusions on the battlefield.<|endoftext|>
<|startoftext|>|0uncommon|8&^^^/&^^^|4|1soulblade corrupter|6human warrior|5creature|3{^^^^BB}|9partner with soulblade renewer\deathtouch\whenever a creature with a +&^/+&^ counter on it attacks one of your opponents, that creature gains deathtouch until end of turn.|7<|endoftext|>
<|startoftext|>|5instant|0rare|4|8|1righteousness|6|7|3{WW}|9target blocking creature gets +&^^^^^^^/+&^^^^^^^ until end of turn.<|endoftext|>
<|startoftext|>|0uncommon|1academy researchers|6human wizard|3{^UUUU}|7|5creature|9when @ enters the battlefield, you may put an aura card from your hand onto the battlefield attached to @.|4|8&^^/&^^<|endoftext|>
<|startoftext|>|3{GGGGGG}|9{GGGGGGGG}, T: regenerate target creature.|5creature|0rare|6ouphe|7|4|8&^^/&^^|1niall silvain<|endoftext|>
<|startoftext|>|5creature|4|1tolarian sentinel|9flying\{UU}, T, discard a card: return target permanent you control to its owner's hand.|7|8&^/&^^^|0common|6human spellshaper|3{^^^UU}<|endoftext|>
<|startoftext|>|7|4|9if it's not your turn, you may exile a red card from your hand rather than pay this spell's mana cost.\create two &^^^/&^ red elemental creature tokens with trample and haste. sacrifice those tokens at the beginning of your next upkeep.|8|3{^RRRR}|0rare|1force of rage|5instant|6<|endoftext|>
<|startoftext|>|3{^^^}|5artifact|1puppet strings|7|6|4|0uncommon|9{^^}, T: you may tap or untap target creature.|8<|endoftext|>
<|startoftext|>|0common|1thermal glider|9flying\protection from red|6human rebel|4|8&^^/&^|5creature|3{^^WW}|7<|endoftext|>
<|startoftext|>|5creature|6shapeshifter cleric|3{^^UUUU}|4|9embalm {^^^UUUU}\you may have @ enter the battlefield as a copy of any creature on the battlefield, except if @ was embalmed, the token has no mana cost, it's white, and it's a zombie in addition to its other types.|8&/&|1vizier of many faces|7|0rare<|endoftext|>
<|startoftext|>|3{^RRRRRR}|4|7|0rare|5creature|1blistering firecat|8&^^^^^^^/&^|6elemental cat|9trample\haste\morph {RRRR}\at the beginning of the end step, sacrifice @.<|endoftext|>
<|startoftext|>|1aether theorist|9when @ enters the battlefield, you get {EEEEEE} .\T, pay {EE}: scry &^.|6vedalken rogue|7|4|8&^/&^^^|5creature|3{^UU}|0common<|endoftext|>
<|startoftext|>|4|1encroaching wastes|0uncommon|9T: add {CC}.\{^^^^}, T, sacrifice @: destroy target nonbasic land.|6|5land|3|8|7<|endoftext|>
<|startoftext|>|0rare|8|3{}|6|7|4|9the next time a source of your choice would deal damage to you this turn, prevent that damage. you gain life equal to the damage prevented this way.\at the beginning of your next upkeep, pay {^WWWW}. if you don't, you lose the game.|1intervention pact|5instant<|endoftext|>
<|startoftext|>|3{RR}|6|8|5sorcery|0common|1tahngarth's glare|7|9look at the top three cards of target opponent's library, then put them back in any order. that player looks at the top three cards of your library, then puts them back in any order.|4<|endoftext|>
<|startoftext|>|0common|7|5instant|1dissenter's deliverance|3{^GG}|9cycling {GG}\destroy target artifact.|6|8|4<|endoftext|>
<|startoftext|>|4|6minotaur warrior|1warfire javelineer|0uncommon|5creature|9when @ enters the battlefield, it deals X damage to target creature an opponent controls, where X is the number of instant and sorcery cards in your graveyard.|3{^^^RR}|8&^^/&^^^|7<|endoftext|>
<|startoftext|>|4|8&^/&^|1cephalid scout|7|5creature|3{^UU}|0common|9flying\{^^UU}, sacrifice a land: draw a card.|6cephalid wizard scout<|endoftext|>
